#'eRecoil', 'eRecError', 'eRecErrorHi', 'eRecErrorLo', 'qf', 'qfError', 'qfErrorHi', 'qfErrorLo'
29.14,1.5,0,0,0.1149,0.0146,0,0
42.89,2.39,0,0,0.0933,0.0077,0,0
86.38,4.81,0,0,0.0840,0.0071,0,0
127.12,6.70,0,0,0.0814,0.0105,0,0
