#'eRecoil', 'eRecError', 'eRecErrorHi', 'eRecErrorLo', 'qf', 'qfError', 'qfErrorHi', 'qfErrorLo'
40.25,1.06,0,0,0.0837,0.0108,0,0
54.78,1.14,0,0,0.0831,0.0093,0,0
85.11,1.28,0,0,0.0837,0.0050,0,0
100.08,1.14,0,0,0.0828,0.0053,0,0
