7.46e+01, 2.83e+00, 0, 0, 2.10e+01, 1.22e-01, 0, 0
6.94e+01, 1.40e+00, 0, 0, 2.03e+01, 8.19e-01, 0, 0
6.58e+01, 1.43e+00, 0, 0, 1.87e+01, 1.07e+00, 0, 0
5.57e+01, 1.47e+00, 0, 0, 2.01e+01, 4.38e-01, 0, 0
4.60e+01, 1.45e+00, 0, 0, 1.90e+01, 3.28e-01, 0, 0
4.14e+01, 1.44e+00, 0, 0, 1.81e+01, 4.37e-01, 0, 0
3.57e+01, 1.40e+00, 0, 0, 1.78e+01, 3.70e-01, 0, 0
3.11e+01, 1.37e+00, 0, 0, 1.68e+01, 3.00e-01, 0, 0
2.65e+01, 1.31e+00, 0, 0, 1.71e+01, 3.03e-01, 0, 0
2.08e+01, 1.21e+00, 0, 0, 1.56e+01, 4.33e-01, 0, 0
1.65e+01, 1.13e+00, 0, 0, 1.64e+01, 7.30e-01, 0, 0
1.31e+01, 1.04e+00, 0, 0, 1.51e+01, 1.16e+00, 0, 0
